Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID;Score;Url
436;Bupkis [HDTV][720p][Cap.104];Bupkis;Bupkis;;HDTV;HD;Serie;;104;436;magnet:?xt=urn:btih:cbd618a2ad78215ae0b3f8550a29ce25428cd759;cbd618a2ad78215ae0b3f8550a29ce25428cd759;d7278681f3e23322c94a84ac15322f3b54af0322;6.1;https://image.tmdb.org/t/p/w185/y2hAQhAwE9fRe4cpq2OrcPLRxNO.jpg
437;Bupkis [HDTV][720p][Cap.105];Bupkis;Bupkis;;HDTV;HD;Serie;;105;437;magnet:?xt=urn:btih:4360fda2d36b62b177d8665e8fd8c2f134255c0f;4360fda2d36b62b177d8665e8fd8c2f134255c0f;aa2f0329703151df3ca626d954509281b210bb9e;6.1;https://image.tmdb.org/t/p/w185/y2hAQhAwE9fRe4cpq2OrcPLRxNO.jpg
438;bupkis [HDTV][720p][Cap.106];bupkis;bupkis;;HDTV;HD;Serie;;106;438;magnet:?xt=urn:btih:c3a2ea2477afe96804c8c3c283b5c731682a4e05;c3a2ea2477afe96804c8c3c283b5c731682a4e05;0;6.1;https://image.tmdb.org/t/p/w185/y2hAQhAwE9fRe4cpq2OrcPLRxNO.jpg
439;Bupkis [HDTV][720p][Cap.107];Bupkis;Bupkis;;HDTV;HD;Serie;;107;439;magnet:?xt=urn:btih:896bc9d0349e3779af1b8b5fedcc14e9168ec790;896bc9d0349e3779af1b8b5fedcc14e9168ec790;f729b32656ad20e9bec80868c808a6729c6e9167;6.1;https://image.tmdb.org/t/p/w185/y2hAQhAwE9fRe4cpq2OrcPLRxNO.jpg
440;Bupkis [HDTV][720p][Cap.108];Bupkis;Bupkis;;HDTV;HD;Serie;;108;440;magnet:?xt=urn:btih:a97a8df5af842129c7107f220b053853dba638bb;a97a8df5af842129c7107f220b053853dba638bb;0;6.1;https://image.tmdb.org/t/p/w185/y2hAQhAwE9fRe4cpq2OrcPLRxNO.jpg
441;c.mm.ss.1x01.m[720p]p.es;c.mm.ss.1x01.m;c.mm.ss.1x01.m;;;HD;Pelicula;;;441;magnet:?xt=urn:btih:cc73662ccada5f7193c3ed97625d0bed4a3fc9ef;cc73662ccada5f7193c3ed97625d0bed4a3fc9ef;c3e10287055a021e1515b43375174bf9bdaae77c;;
442;c.mm.ss.1x02.m[720p]p.es;c.mm.ss.1x02.m;c.mm.ss.1x02.m;;;HD;Pelicula;;;442;magnet:?xt=urn:btih:17413a4c212169bf8184c9124c5b0017b7189945;17413a4c212169bf8184c9124c5b0017b7189945;0;;
443;c.mm.ss.1x06.m[720p]p.es;c.mm.ss.1x06.m;c.mm.ss.1x06.m;;;HD;Pelicula;;;443;magnet:?xt=urn:btih:7e844689009c26e6a8d6424c2015674b6bac26e9;7e844689009c26e6a8d6424c2015674b6bac26e9;0;;
444;C4ft4nAzl.[1080p];C4ft4nAzl.;C4ft4nAzl.;;;FHD;Pelicula;;;444;magnet:?xt=urn:btih:6a86bad90e3895548ebdf25eaa1eb306a8a90347;6a86bad90e3895548ebdf25eaa1eb306a8a90347;f0d87c0f8fa7aa37aad58399c5fb358f6b00490e;;
445;Cadetes De Mechas [HDTV][1080p][Cap.101];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;101;445;magnet:?xt=urn:btih:829a1d799ddf7a4c2d9584967651b4f1643eceb1;829a1d799ddf7a4c2d9584967651b4f1643eceb1;50042a1cac8f37d0bb09a3237521f55b2cc7c29a;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
446;Cadetes De Mechas [HDTV][1080p][Cap.102];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;102;446;magnet:?xt=urn:btih:45519c4e750855973e7cfedcb7762a4c0d438165;45519c4e750855973e7cfedcb7762a4c0d438165;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
447;Cadetes De Mechas [HDTV][1080p][Cap.103];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;103;447;magnet:?xt=urn:btih:e9ad499ecc2b35b5bd469690d969b46d03c70cbb;e9ad499ecc2b35b5bd469690d969b46d03c70cbb;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
448;Cadetes De Mechas [HDTV][1080p][Cap.104];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;104;448;magnet:?xt=urn:btih:a915329e98dbc1bfb1302698864ee8ba24e80d7f;a915329e98dbc1bfb1302698864ee8ba24e80d7f;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
449;Cadetes De Mechas [HDTV][1080p][Cap.105];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;105;449;magnet:?xt=urn:btih:aed95e904519852cbcdb41ea09baa5ee3f55c71c;aed95e904519852cbcdb41ea09baa5ee3f55c71c;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
450;Cadetes De Mechas [HDTV][1080p][Cap.106];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;106;450;magnet:?xt=urn:btih:a65eea31e5087f56334f9b75ea0952597ae0fadd;a65eea31e5087f56334f9b75ea0952597ae0fadd;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
451;Cadetes De Mechas [HDTV][1080p][Cap.107];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;107;451;magnet:?xt=urn:btih:af8a30bba9620bfe81b46c0a76348197d8f8a382;af8a30bba9620bfe81b46c0a76348197d8f8a382;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
452;Cadetes De Mechas [HDTV][1080p][Cap.108];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;108;452;magnet:?xt=urn:btih:4adb744116f2fada25ec4b35c970e03e8ef95d5a;4adb744116f2fada25ec4b35c970e03e8ef95d5a;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
453;Cadetes De Mechas [HDTV][1080p][Cap.109];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;109;453;magnet:?xt=urn:btih:3e802bf1597405233a2c21cbd1226c2fe51996e3;3e802bf1597405233a2c21cbd1226c2fe51996e3;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
454;Cadetes De Mechas [HDTV][1080p][Cap.110];Cadetes De Mechas;Cadetes De Mechas;;HDTV;FHD;Serie;;110;454;magnet:?xt=urn:btih:e836a90a93c95241cb079068ab9a4a05a5b7398c;e836a90a93c95241cb079068ab9a4a05a5b7398c;0;8.2;https://image.tmdb.org/t/p/w185/5awFqxnqJHQD0TQCasf8VjAWqTb.jpg
455;Cancion de paz (2022) [Bluray][1080p][Esp];Cancion de paz (2022);Cancion de paz;2022;Bluray;FHD;Pelicula;Castellano;;455;magnet:?xt=urn:btih:594853328173b22438c0e06de98f626ff8990c9d;594853328173b22438c0e06de98f626ff8990c9d;d8e3a5508947d6aec2b1b2773605e552c6ac4556;8.1;https://image.tmdb.org/t/p/w185/gpLRIDaSAsvPQW2Hfk3UWM36Ygx.jpg
456;Cancion de paz (2022) [Bluray][480p][Esp];Cancion de paz (2022);Cancion de paz;2022;Bluray;SD;Pelicula;Castellano;;456;magnet:?xt=urn:btih:16fa98ecf852ef0c03e50646f6be0fa960111ed6;16fa98ecf852ef0c03e50646f6be0fa960111ed6;fc422652302a36fa427dc21b6dfb29ce3a3a8383;8.1;https://image.tmdb.org/t/p/w185/gpLRIDaSAsvPQW2Hfk3UWM36Ygx.jpg
457;Cancion de paz (2022) [Bluray][720p][Esp];Cancion de paz (2022);Cancion de paz;2022;Bluray;HD;Pelicula;Castellano;;457;magnet:?xt=urn:btih:1bd75f37cd64a2578e42e9968dd9dc92826ac235;1bd75f37cd64a2578e42e9968dd9dc92826ac235;721c5b70be2b2066ef43d5a24f5567e5910b6326;8.1;https://image.tmdb.org/t/p/w185/gpLRIDaSAsvPQW2Hfk3UWM36Ygx.jpg
458;Cangaco Novo [2160p][Cap.101];Cangaco Novo;Cangaco Novo;;;4K;Serie;;101;458;magnet:?xt=urn:btih:daf447aa86cb9229c1789f353a33fe91df5f943d;daf447aa86cb9229c1789f353a33fe91df5f943d;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
459;Cangaco Novo [2160p][Cap.102];Cangaco Novo;Cangaco Novo;;;4K;Serie;;102;459;magnet:?xt=urn:btih:46105665e9751474e6af4fbb7799af06c9b2d500;46105665e9751474e6af4fbb7799af06c9b2d500;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
460;Cangaco Novo [2160p][Cap.103];Cangaco Novo;Cangaco Novo;;;4K;Serie;;103;460;magnet:?xt=urn:btih:236d75b4218f33e066eef0f8b0949840f911d5b2;236d75b4218f33e066eef0f8b0949840f911d5b2;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
461;Cangaco Novo [2160p][Cap.104];Cangaco Novo;Cangaco Novo;;;4K;Serie;;104;461;magnet:?xt=urn:btih:137072fafc7b69c65455c9daf279781fb0f097c7;137072fafc7b69c65455c9daf279781fb0f097c7;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
462;Cangaco Novo [2160p][Cap.105];Cangaco Novo;Cangaco Novo;;;4K;Serie;;105;462;magnet:?xt=urn:btih:94832b6ad1bd785e212c88717797b2246e5cd032;94832b6ad1bd785e212c88717797b2246e5cd032;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
463;Cangaco Novo [2160p][Cap.106];Cangaco Novo;Cangaco Novo;;;4K;Serie;;106;463;magnet:?xt=urn:btih:7dc88905a7ee275dacb9d21a8dab366e2c085f50;7dc88905a7ee275dacb9d21a8dab366e2c085f50;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
464;Cangaco Novo [2160p][Cap.107];Cangaco Novo;Cangaco Novo;;;4K;Serie;;107;464;magnet:?xt=urn:btih:bb71503bdaf1f55c4e8c766422dcee0be170fd6e;bb71503bdaf1f55c4e8c766422dcee0be170fd6e;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
465;Cangaco Novo [2160p][Cap.108];Cangaco Novo;Cangaco Novo;;;4K;Serie;;108;465;magnet:?xt=urn:btih:bbe36fda8ba0e2a688fabc64caf62c5758391313;bbe36fda8ba0e2a688fabc64caf62c5758391313;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
466;Cangaco Novo [HDTV][1080p][Cap.101];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;101;466;magnet:?xt=urn:btih:bf56eccd7521d6dab1be13c90c6b7c7bd47e2a76;bf56eccd7521d6dab1be13c90c6b7c7bd47e2a76;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
467;Cangaco Novo [HDTV][1080p][Cap.102];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;102;467;magnet:?xt=urn:btih:c8d8452f917e8bd20c20427f925a4ec3e9a70a6c;c8d8452f917e8bd20c20427f925a4ec3e9a70a6c;5908029172811179ee3ed5f7855534d5bee5f68e;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
468;Cangaco Novo [HDTV][1080p][Cap.103];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;103;468;magnet:?xt=urn:btih:871119027dcbe990372533806970dd3f07943706;871119027dcbe990372533806970dd3f07943706;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
469;Cangaco Novo [HDTV][1080p][Cap.104];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;104;469;magnet:?xt=urn:btih:c8fdf9c4bebcf58a91aa802b74043d449e214126;c8fdf9c4bebcf58a91aa802b74043d449e214126;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
470;Cangaco Novo [HDTV][1080p][Cap.105];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;105;470;magnet:?xt=urn:btih:278bd5b82676ef8ffd8a4c282918676193219f56;278bd5b82676ef8ffd8a4c282918676193219f56;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
471;Cangaco Novo [HDTV][1080p][Cap.106];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;106;471;magnet:?xt=urn:btih:ada6fc5829ee9a8e97f1c02c2862379d51d235fe;ada6fc5829ee9a8e97f1c02c2862379d51d235fe;269e1295da7a1a16b4175f84599b8599a1437b81;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
472;Cangaco Novo [HDTV][1080p][Cap.107];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;107;472;magnet:?xt=urn:btih:ff07d8579a1eed3f582b01a17def97e035201940;ff07d8579a1eed3f582b01a17def97e035201940;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
473;Cangaco Novo [HDTV][1080p][Cap.108];Cangaco Novo;Cangaco Novo;;HDTV;FHD;Serie;;108;473;magnet:?xt=urn:btih:6d1f50009aaebac62cdb76c3873792acbaf170ee;6d1f50009aaebac62cdb76c3873792acbaf170ee;0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
474;Cangaco Novo [HDTV][480p][Cap.101];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;101;474;magnet:?xt=urn:btih:51a73ccceb19218829c22117d31851b4f9d22c82;51a73ccceb19218829c22117d31851b4f9d22c82;e1f2661f3d667796a952fd70b01f29b79b6014db;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
475;Cangaco Novo [HDTV][480p][Cap.102];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;102;475;magnet:?xt=urn:btih:e13f12fbf77236bf58efaf43de5e0b2267f8e92b;e13f12fbf77236bf58efaf43de5e0b2267f8e92b;208479286e4d8123c075b78b2917c243b08d77a6;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
476;Cangaco Novo [HDTV][480p][Cap.103];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;103;476;magnet:?xt=urn:btih:2b01d980197e932f183310fe13f7ed768b124c0d;2b01d980197e932f183310fe13f7ed768b124c0d;aa63cbfdbd305611c624bde84b4228f87b822f63;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
477;Cangaco Novo [HDTV][480p][Cap.104];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;104;477;magnet:?xt=urn:btih:daabdf0170a9ff0b768b39061d60497a85244e11;daabdf0170a9ff0b768b39061d60497a85244e11;5d087609f473f6122d9a90bc9b5b6da0e8529e43;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
478;Cangaco Novo [HDTV][480p][Cap.105];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;105;478;magnet:?xt=urn:btih:fc8199a519e4fc54f1bb6f03cdceb63bb3b2928a;fc8199a519e4fc54f1bb6f03cdceb63bb3b2928a;9fbf206717fe913f1531592d9b0f7b34ec45a9a0;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
479;Cangaco Novo [HDTV][480p][Cap.106];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;106;479;magnet:?xt=urn:btih:faa50c88a1863110baff53feed570480f6b8d170;faa50c88a1863110baff53feed570480f6b8d170;85e626120afce029e56dd7d180dcf05d5eea657e;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
480;Cangaco Novo [HDTV][480p][Cap.107];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;107;480;magnet:?xt=urn:btih:67208c29575fa00b2395ac253b67a7797d77eb15;67208c29575fa00b2395ac253b67a7797d77eb15;431fbd18ee323c4e195cb919abb65aafd0b09e3e;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
481;Cangaco Novo [HDTV][480p][Cap.108];Cangaco Novo;Cangaco Novo;;HDTV;SD;Serie;;108;481;magnet:?xt=urn:btih:626e47dbc799057d4f77830e28624c86708e89fd;626e47dbc799057d4f77830e28624c86708e89fd;fde3660a7656a853c4bba2ccbc1571569293eb81;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
482;Cangaco Novo [HDTV][720p][Cap.101];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;101;482;magnet:?xt=urn:btih:ba837def69d6d56ad2d50e69596792d7ca9eb751;ba837def69d6d56ad2d50e69596792d7ca9eb751;a5c5833f100d5e889b4e868254e94296dcad44ca;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
483;Cangaco Novo [HDTV][720p][Cap.102];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;102;483;magnet:?xt=urn:btih:72291ee516421520639f9d84305f8671c2f9927c;72291ee516421520639f9d84305f8671c2f9927c;07da768ef2498d2e91e7b1700bf903fbb3222a6e;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
484;Cangaco Novo [HDTV][720p][Cap.103];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;103;484;magnet:?xt=urn:btih:b842ebb6d2640233980dc7f431476de3e2372f83;b842ebb6d2640233980dc7f431476de3e2372f83;33b49fc04e529318f7b644d46bac7059269c9626;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
485;Cangaco Novo [HDTV][720p][Cap.104];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;104;485;magnet:?xt=urn:btih:297da7eb3ad417e1568b0abe3f4721a670abeb5a;297da7eb3ad417e1568b0abe3f4721a670abeb5a;1c4438e7393b18fe728586fcf3320f63654d6ef6;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
486;Cangaco Novo [HDTV][720p][Cap.105];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;105;486;magnet:?xt=urn:btih:2a2a57ad2bde48f1c0c192269683aba6768fb5d9;2a2a57ad2bde48f1c0c192269683aba6768fb5d9;84831240351fdebb0681cf888be6affe38c113ec;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
487;Cangaco Novo [HDTV][720p][Cap.106];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;106;487;magnet:?xt=urn:btih:94abd9873507a32e170dad60a4ed6bda2a4069ad;94abd9873507a32e170dad60a4ed6bda2a4069ad;4933cab9d7a576a449cb37424a893dd60cef7ebe;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
488;Cangaco Novo [HDTV][720p][Cap.107];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;107;488;magnet:?xt=urn:btih:421ada7969dd63bdd1bbd82f5156cd3ddb7d6b6f;421ada7969dd63bdd1bbd82f5156cd3ddb7d6b6f;3c87b856cc052bc0f9df0b1fb832ff0ca9837ca5;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
489;Cangaco Novo [HDTV][720p][Cap.108];Cangaco Novo;Cangaco Novo;;HDTV;HD;Serie;;108;489;magnet:?xt=urn:btih:08a086d86c1d4d167cf0f514455ea528f3a7816b;08a086d86c1d4d167cf0f514455ea528f3a7816b;baa5a8fb869ac0905c460ddfba6acb1cd925bc6f;8.5;https://image.tmdb.org/t/p/w185/rBiDQaJRWnQQABHKkxBdxPfmkyP.jpg
490;Capitan Fall [HDTV][1080p][Cap.101];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;101;490;magnet:?xt=urn:btih:d638ccd6bcfa55454dc5b97c07f82d0fac3ecb1a;d638ccd6bcfa55454dc5b97c07f82d0fac3ecb1a;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
491;Capitan Fall [HDTV][1080p][Cap.102];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;102;491;magnet:?xt=urn:btih:bd22f282130ea2dea8b32c8487c385534cf5b7d2;bd22f282130ea2dea8b32c8487c385534cf5b7d2;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
492;Capitan Fall [HDTV][1080p][Cap.103];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;103;492;magnet:?xt=urn:btih:387a8f6b91373fd1834c08d7d520f18f7c9e2bb2;387a8f6b91373fd1834c08d7d520f18f7c9e2bb2;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
493;Capitan Fall [HDTV][1080p][Cap.104];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;104;493;magnet:?xt=urn:btih:a0b526b9f8dc648cfcd7580117f91868aef78c30;a0b526b9f8dc648cfcd7580117f91868aef78c30;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
494;Capitan Fall [HDTV][1080p][Cap.105];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;105;494;magnet:?xt=urn:btih:76baddac2e695b720a4b4d79efd78c28d935d94c;76baddac2e695b720a4b4d79efd78c28d935d94c;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
495;Capitan Fall [HDTV][1080p][Cap.106];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;106;495;magnet:?xt=urn:btih:f6738810b1775b9a41cf6f6cddfaae4d4a8d2ae0;f6738810b1775b9a41cf6f6cddfaae4d4a8d2ae0;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
496;Capitan Fall [HDTV][1080p][Cap.107];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;107;496;magnet:?xt=urn:btih:2f648f3edc28ab030cdd7f5af5d1340a18c11ccb;2f648f3edc28ab030cdd7f5af5d1340a18c11ccb;5935e62bd62cb5dffd066afa5244d65f5a906366;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
497;Capitan Fall [HDTV][1080p][Cap.108];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;108;497;magnet:?xt=urn:btih:682e5f5462af937b1a027e44b2d8ae26434a1115;682e5f5462af937b1a027e44b2d8ae26434a1115;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
498;Capitan Fall [HDTV][1080p][Cap.109];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;109;498;magnet:?xt=urn:btih:cf6107fb9efef645e8b96e91481ef20929924ffc;cf6107fb9efef645e8b96e91481ef20929924ffc;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
499;Capitan Fall [HDTV][1080p][Cap.110];Capitan Fall;Capitan Fall;;HDTV;FHD;Serie;;110;499;magnet:?xt=urn:btih:8ed1c7550c9e58cacad2abc9c0e4c80e7d364704;8ed1c7550c9e58cacad2abc9c0e4c80e7d364704;0;6.7;https://image.tmdb.org/t/p/w185/qJk5ks6g9FYT2nQ82UzkJDTKRDW.jpg
500;Carrera 2 F1 Gran Premio de Holanda 2023 R 1423 [HDTV][1080p][Esp];Carrera 2 F1 Gran Premio de Holanda 2023 R 1423;Carrera 2 F1 Gran Premio de Holanda 2023 R 1423;;HDTV;FHD;Pelicula;Castellano;;500;magnet:?xt=urn:btih:6cfa32367021db8347eba6044cd07efb153eeeaf;6cfa32367021db8347eba6044cd07efb153eeeaf;0c2df8bc221aadf01dcb49d75f16fe50b6fc1659;;
501;Carrera F1 Gran Premio de Holanda 2023 R 1423 [HDTV][1080p][Esp];Carrera F1 Gran Premio de Holanda 2023 R 1423;Carrera F1 Gran Premio de Holanda 2023 R 1423;;HDTV;FHD;Pelicula;Castellano;;501;magnet:?xt=urn:btih:eeb664db2dcb55e6d736446fee415bd362c6cf80;eeb664db2dcb55e6d736446fee415bd362c6cf80;5c293033245619ae3da37c29e918d3ae0337cab5;;
502;Carrera F1 Gran Premio de Singapur 2023 R 16 23 [HDTV][1080p][Esp];Carrera F1 Gran Premio de Singapur 2023 R 16 23;Carrera F1 Gran Premio de Singapur 2023 R 16 23;;HDTV;FHD;Pelicula;Castellano;;502;magnet:?xt=urn:btih:d40256d2a60aa0c52ca422bfc2761dbbd1cc2602;d40256d2a60aa0c52ca422bfc2761dbbd1cc2602;0;;
503;Cash (2023) [Bluray][480p][Esp];Cash (2023);Cash;2023;Bluray;SD;Pelicula;Castellano;;503;magnet:?xt=urn:btih:182aef92ae0ebd96ea42425dc323b87d9b6920a0;182aef92ae0ebd96ea42425dc323b87d9b6920a0;85ebd3f4529a585c7890e4f80f304ceb5ea61e41;6.3;https://image.tmdb.org/t/p/w185/kRQktZK1ZUUeWnFY8O04uA5cRbd.jpg
504;Cash (2023) [Bluray][720p][Esp];Cash (2023);Cash;2023;Bluray;HD;Pelicula;Castellano;;504;magnet:?xt=urn:btih:62b44fccf298d3cc0d5b763957a4fee9444a4ff1;62b44fccf298d3cc0d5b763957a4fee9444a4ff1;afbcaae8f6f78a1d936775b3ac54c72e15890f83;6.3;https://image.tmdb.org/t/p/w185/kRQktZK1ZUUeWnFY8O04uA5cRbd.jpg
505;Castigo [HDTV][1080p][Cap.101];Castigo;Castigo;;HDTV;FHD;Serie;;101;505;magnet:?xt=urn:btih:1706b90055841d5a9e717a9824ccee109452028f;1706b90055841d5a9e717a9824ccee109452028f;0;6.0;https://image.tmdb.org/t/p/w185/fmvJD9SFCfHJ4jxvYit1QFmm3bC.jpg
506;Castigo [HDTV][1080p][Cap.102];Castigo;Castigo;;HDTV;FHD;Serie;;102;506;magnet:?xt=urn:btih:c7297e32812226d6a0425520e3018a7f2d5f572d;c7297e32812226d6a0425520e3018a7f2d5f572d;0;6.0;https://image.tmdb.org/t/p/w185/fmvJD9SFCfHJ4jxvYit1QFmm3bC.jpg
507;Castigo [HDTV][1080p][Cap.103];Castigo;Castigo;;HDTV;FHD;Serie;;103;507;magnet:?xt=urn:btih:21b5fe872abdeb13ec27d105af267390f281dea0;21b5fe872abdeb13ec27d105af267390f281dea0;175d33c805fad2b3b1e5a9a93bbff280df74c1c8;6.0;https://image.tmdb.org/t/p/w185/fmvJD9SFCfHJ4jxvYit1QFmm3bC.jpg
